id,name,birthDate,birthArea
117,Les Spécialistes,1997,
118,Manu Key,1971-03-28,Guadeloupe
119,Migos,2008,Lawrenceville
120,Jacky,,
121,Sat,,
122,Menzo,1975,
123,Coka Brown,,
124,Dadoo,1974,Marseille
125,F.Dy,,
126,Die,1982,Berlin
127,Tiwony,,Guadeloupe
128,Chico,,
129,Nicky B,,
130,Alkpote,1981-02-03,
131,ATK,1995,Paris
132,Le Barillet,1997,
133,Elsa Lunghini,1973-05-20,
134,Hayce Lemsi,1987-12-16,Ouargla
135,Noyau Dur,2000,
136,Intouchable,1992,Val-de-Marne
137,Angelique Kidjo,1960-07-14,Cotonou
138,Jerome Prister,,
139,Cheba Fadela,1962-02-05,Oran
140,Meiway,1962-03-17,Abidjan
141,Les Nubians,1998,Paris
142,Mayra Andrade,1985-02-13,La Habana
143,Cheb Houcine,,
144,Papa Wemba,1949-06-14,Kasai-Oriental
145,Ishmael,,
146,Jacob Desvarieux,1955-11-21,Paris
147,Cheb Akil,1974-06-27,Aïn Defla
148,Queen Eteme,,
149,Billy Dikossa's,1993,Mississauga
150,Zola,1985-07-18,
151,Bengani Fassie,1964-11-03,Cape Town
152,Guy Waku,,Democratic Republic of the Congo
153,Les chœurs Zulu de Soweto,,
154,Laskiiz,,
155,Faf Larage,1971-03-06,Marseille
156,K-Rhyme Le Roi,,
157,Espoir 2000,,
158,Dreiser,,
159,Sexto Sentido,1997,La Habana
160,Theo Parrish,1972,"Washington, D.C."
161,Tunisiano,1979-05-19,Deuil-la-Barre
162,Assassin,1985,Paris
163,Enfants Terribles,1966,
164,SCH,1993-04-06,Marseille
165,J-Mi Sissoko,,
166,Les Cautionneurs,,
167,Jacky Brown,1972-05-21,
168,Carlito,,
169,Debaba,1961,Democratic Republic of the Congo
170,DJ Kobe,,
171,Volodia,,
172,OGB,1977,
173,DJ Mehdi,1977-01-20,Hauts-de-Seine
174,ANTILOPSA,,
175,Koffi Olomidé,1956-07-13,Democratic Republic of the Congo
176,Lokua Kanza,1958-04,Sud-Kivu
177,Monique Seka,,
178,Tanya St Val,1965-12-15,Basse-Terre
179,Elgany,,
180,Take a Mic,1994-09-24,
181,Hifi,,
182,Oxmo,,Konstanz
183,K'NAAN,1978-02-01,Mogadishu
184,Hamed Daye,1971,
185,Papou,,
186,MAM,,
187,Iron Sy,1979-01-14,Paris
188,Sinik,1980-06-26,
189,Daddy Mory,,
190,Shacow Black,1989,Atlanta
191,Vinia Mojica,1970-03-14,Queens
192,Sentenza,,
193,Ali,2016-06-03,Japan
194,Makala,1993-03-07,Biel/Bienne
195,G.A.N,,Sheffield
196,RAJA,,
197,Viper,1971-10-07,El Dorado
198,Fally Ipupa,1977-12-14,Kinshasa
199,Tanya St-Val,1965-12-15,Basse-Terre
200,Koffi Olomide,1956-07-13,Democratic Republic of the Congo
201,Freko,,
202,K-Reen,,French Guiana
203,Vasquez,,
204,Calbo,,
205,The Time Bomb,2005,
206,Bauza,1911-04-28,La Habana
207,Milicia Callejera,,Concordia
208,Pierpoljak,1964-09-07,Paris
209,Faada Freddy,1975-01-10,Saint-Louis
210,Kertra,,
211,Kadaz,,
212,Arrafat,,
213,Moz l'Ours Blanc,1976,
214,Molare,,
215,Grande Instance,,
216,Les Rongeurs,,
217,Les Novices du Vice,,
218,Djamatik,,
219,Chateau Flight,,
220,Sek One,,
221,Gibson,1928-04-03,Shelby
222,L'Ego.X,,
223,DJ Battle,,
224,Nas,1973-09-14,Brooklyn
225,Ménage à trois,,
226,Baduy,,
227,Ibrahim Maalouf,1980-12-05,Beyrouth
228,Rohff,1977-12-15,Antananarivo
229,Rim'K,1978-06-21,Paris
230,Les X-Men,,
231,Irons,2007,United States
232,Dany Dan,,
233,Josman,,
234,Nicoletta,1944-04-11,Thonon-les-Bains
235,Cyanure,,
236,Morad,,
237,Mass Hysteria,1993,
238,Hooss,1992-06-03,
239,AP du 113,,
240,Karlito,,Orly
241,Hi:Fi,1998-08-02,
242,Fdy Phenomen,,
243,Medhy Custos,1973-07-04,Paris
244,Yaniss Odua,,
245,Liberty King,,
246,Zaho,1980-05-10,Algeria
247,Youssou N'Dour,1959-10-01,Dakar
248,Def Bond,1969,
249,Faya D,,
250,Christophe Maé,1975-10-16,Carpentras
251,Raphael,1943-05-05,Linares
252,D.Abuz System,1990,
253,Sléo,,
254,Space Rca,,
255,Dunndee,,
256,Asom,,
257,China,1985,
258,Jack Many,,
259,Myssa,,
260,Wallas,,
261,Taro OG,,
262,Juicy P,,
263,Ahmed Rushdi,1934-04-24,
264,Hasheem,,
265,Zaharya,,
266,Izé Teixeira,1974,Ilhas de Sotavento
267,Patrice,1979-07-09,Kerpen
268,Dimi Donkya,,
269,Mamido,,
270,Jaeyez,,
271,Soprano,1979-01-14,Marseille
272,Alonzo,1982-07-25,
273,Lord Kossity Zoxea,1973-01-01,
274,Busta Flex,1977-09-30,Soisy-sous-Montmorency
275,Pierro,,
276,L'Skadrille,1996,
277,La Rumeur,1997,
278,MC Janik,,Guadeloupe
279,Tequila,1975,Madrid
280,Mafia K'1 Fry,1995,
281,A.P.,1979,Vitry-sur-Seine
282,Taïro,1978-02-05,Paris
283,Luidji,,
284,Lacrim,1985-04-29,Paris
285,Tyran,2005,Dendermonde
286,Carré Rouge,,
287,PM,,
288,K2C,,
289,Abuz,,
290,Rocca,1975-04,
291,Assia,1973-11-01,Algiers
292,Raggasonic - NTM,,
293,3615 Niaou,,
294,Tonton Ben,,
295,DJ Naughty J,,
296,Mo,,
297,FBI,,
298,BaK,,
299,Sekal,,
300,Hamza,1994-08-01,Laeken
301,Chang Ti Shurik'n,1966-03-11,Miramas
302,Ray D,,
303,Soso Maness,,
304,Fenoblack,,
305,Sista D,,
306,Dj Cream,,
307,Krokmiten,,
308,Cutee B.,,
309,Willy Le Barge,,
310,DI,1982,Fullerton
311,Djettos,,
312,Gad Elmaleh,1971-04-19,Casablanca
313,Kalash,,
314,Babo,1976-11-16,
315,Y.Odua,,
316,Supa John,,
317,Less du neuf,,
318,Alibi Montana,1978,Villetaneuse
319,Alpha 5.20,1977,Dakar
320,Pleofi,,
321,Common Sense,1987,
322,Rahzel,1964-10,The Bronx
323,Nathyboss,,
324,Rocé,1977,Alger
325,Khondo,1975-06-17,
326,Egosyst,,
327,Mobb Deep,1993,Queensbridge
328,Mo'vez Lang,,
329,East,1975,
330,Sadek,1991-05-25,Neuilly-Plaisance
331,Matt,,
332,Kohndo,1975-06-17,
333,Roce,1977,Alger
334,Kayna Samet,1980-09-27,Nice
335,Johnny Ringo,1961,Kingston
336,Moïse,,
337,Specio,,
338,Foutha Barge,,
339,Irene Parveen,1940,
340,Basit,,
341,20syl,1979-02-17,Nantes
342,Blacko,1979-02-05,Montfermeil
343,Aketo,1980-08-30,
344,Philo,,
345,Toy,1979-10,Sunderland
346,DJ Rash,,
347,Stéphanie Kandee Picard,,
348,Leïla Rami,,
349,Baabwaan,,
350,Jean Michel,1948-08-24,Lyon
351,Djamel,,Algeria
352,25G,,
353,Degom,,
354,Nuttea,1968-01-01,Guadeloupe
355,TPS,,
356,Le A,,
357,Aladin 135,1995-11-30,
358,Nekfeu,1990-04-03,La Trinité
359,Afrojazz,,
360,Masood Rana,1938-06-09,
361,Diego Pélaez,,
362,Pompis,,
363,Hyacinthe,,
364,L.O.A.S,,
365,Mista Flo,1974,
366,Lil Jahson,,
367,Derin Young,,
368,Ktana,,
369,Tige,,
370,RCP,,
371,Anis,1977-03,Pontoise
372,Doudou,,
373,Niska,1994-04-06,Villeneuve-Saint-Georges
374,Maka,,
375,Ones,,
376,Abd Al Malik,1975-03-14,Paris
377,Benash,,
378,Mc Gyver,,
379,DJ Tacteel,,
380,Axis,,
381,Sir Dooms,,
382,Fantom,1987,Budapest
383,neoklash,,
384,Afrodiziac,,
385,The Nemesis,,
386,Sear,2001,Helsinki
387,Prince Paul,1967-04-02,Amityville
388,Sefyu,1981-04-20,Goutte d'Or
389,Bruizza aka Dark Angel,,
390,Supernatural,1970-04-23,Marion
391,Les X,,
392,Kandys,1998,
393,Chukki Starr,1975,Harlesden
394,Melopheelo,1971-03-02,Sèvres
395,Fuzati,1978-11,Versailles
396,Disiz,1978-03-22,Amiens
397,Morsay,1980-08-19,Beaumont-sur-Oise
398,Nakk Mendosa,1976-03-30,Bobigny
399,Danay Suárez,1985,La Habana
400,Maddslinky,,
401,Frankie Paul,1965-10-19,Kingston
402,De La Soul,1987,New York
403,Neg'madnik,,
404,Neg Lyrical,,
405,Rachid,,
406,Sixcoups MC,1983-07-14,Vitry-sur-Seine
407,Biz Markie,1964-04-08,Harlem
408,Scalo,,
409,Idsa,1990-10-16,Orléans
410,Fabio,,
411,cc,1972,Stockport
412,Jo Popo,,
413,Boolk,,
414,Vald,1992-07-15,Aulnay-sous-Bois
415,Jockey,2021,
416,Thomas Bangalter,1975-01-03,Paris
417,Darys,,
418,Joe Lucaz,,
419,Sahraoui,,
420,Guevarah,,
421,Angie,1980,Nagato
422,Dez,,
423,Jul,1990-01-14,Marseille
424,Kamelancien,1980-05-13,
425,Mohamed Lamine,1970-12-04,Algiers
426,Rickwel,,
427,oxmose,,
428,Fredy K,,
429,Benjamin Biolay,1973-01-20,Villefranche-sur-Saône
430,Speed Bond,,
431,Boss One,,
432,Kwin,,
433,Spécialistes,1997,
434,Bab,,
435,D. Abuz,,
436,MAI LAN,1982,Paris
437,Brian & Tony Gold,,Jamaica
438,Foutabarge,,
439,Pit,,
440,Damso,1992-05-10,Kinshasa
441,Gato,2017-04,Japan
442,Mbegane Ndour,,
443,Hame (la Rumeur),1997,
444,Geo,,
445,Farruko,1991-05-02,Bayamón
446,JMI SISSOKO,,
447,Manu Dibango,1933-12-12,Douala
448,Despo Rutti,1982-06-26,Kinshasa
449,Kayliah,1981-07-02,Créteil
450,Jeru The Damaja,1972-02-14,Brooklyn
451,Kerry James,1977-12-28,Les Abymes
452,DJ Scratch,1968-06-21,Brooklyn
453,Busy Signal,1979-01-24,Saint Ann
454,Juice,2013-02-25,
455,Daz,,
456,Teddy Corona,1977,
457,ADN,2000,Québec
458,Taliani,1980,El Harrach
459,Medhi Lee,,
460,Ambo,,
461,Min-a,1993-09-21,Busan
462,Ryan Mendes,,
463,Melissa M,1985-08-21,Marseille
464,16ar,,
465,Ammour,,
466,Imane D.,,
467,Yezi,1994-08-26,Gangneung
468,Future,1983-11-20,Atlanta
469,Blackjack,1979,
470,Lim,1979-07-29,Issy-les-Moulineaux
471,Junior Kelly,1969-09-23,Kingston
472,Dontcha,,
473,Fresh,1977-04-11,Worthing
474,La Fouine,1981-12-25,Trappes
475,Freddy K,,
476,B.O.S.S.,,
477,Nawfel,,
478,Madizm,,
479,Eric Sermon,1968-11-25,Brentwood
480,N Et Sy Scott,,
481,Shola Ama,1979-03-08,Paddington
482,Flynt,1977,Paris
483,Gringe,1980-02-20,Poitiers
484,Jane Fostin,1973-12-27,Basse-Terre
485,Horace Brown,,Hartford
486,Safir,,
487,RZA (Wu-Tang Clan),1992,Staten Island
488,3ème Empire,2015,Toulouse
489,Joe Lucazz,,
490,Gomez & Dubois,2003,
491,Kelly Rowland,1981-02-11,Atlanta
492,113 Clan,,
493,Afro.R,,
494,Bario 5 S'pry,,
495,X Taz,,
496,Brams,1990,Berga
497,2 Bal Niggets,,
498,Cheb Bilal,1966-07-23,Tipaza
499,Siskid,,
500,Ruby Mike,,
501,Anfalsh,,
502,Bernard Tapie,1943-01-26,Paris
503,Cynéfro,,
504,Delta,1993,
505,Karl,1842-02-25,Hohenstein-Ernstthal
506,MC Jean Gab'1,1967-01-28,
507,Driver,,
508,Joana Varela da Veiga,,
509,Secteur A,,
510,AZE,,
511,Djoloff,,
512,Kabal,,
513,Rootsneg,,
514,Soldafadas,,
515,Yazid,,
516,Arco,1998,London
517,Jean-François Richet,1966-07-02,
518,Radikalkicker,,
519,Farage,,
520,Le Téléphone Arabe,,
521,Khalifrat,,
522,Rohff - Amel Bent,1985-06-21,Paris
523,Zessau,,
524,Afrodiziak,1982,
525,Jango Jack,,
526,Kennedy,1985,
527,La Cliqua Fabe,1993,
528,Mam's,,
529,Esprit D'Ebène,,
530,Sizzla,1976-04-17,Kingston
531,Armaguedon,,
532,Raggasonic,,
533,Gwen Boudda,,
534,Chief Keef,1995-08-15,Chicago
535,Magic System,1996,Abidjan
536,Less Du 9,,
537,PSO THUG,,
538,Demon,1980,Leek
539,Costello,1954-08-25,Paddington
540,Billy Bats,,
541,Doc Gynéco - Passi,1974-05-10,Clichy-sous-Bois
542,Cheb Mami,1966-07-11,
543,Jocelyne Labylle,1973-01-07,Saint-Claude
544,Cesária Evora,1941-08-27,São Vicente
545,Anthony Red Rose,1962-12-19,Saint Mary
546,Stork,2010,Los Angeles
547,Lou Valentino,,
548,Vitaa,1983-03-14,Mulhouse
549,Jimmy Sissoko,,
550,Sofiane,1986-07-21,Saint-Denis
551,Léa Castel,1988-12-01,Marseille
552,Nubi,,
553,Nasme,,
554,Kate,1958-07-30,Welling
555,Space,1977,
556,Flavor Flav,1959-03-16,Roosevelt
557,Wealstarr,,
558,Wesson,,Puerto Rico
559,Lyricson,1979,
560,Sako (Chiens de Paille),1992,
561,Sista Micky,,
562,Diomay,,
563,Granit,,
564,Denaun,,
565,Cuarto Poder,1999,Caracas
566,Saphir,1996,Fort Lauderdale
567,Puzzle,,
568,NOB,1964-01-20,Kawachinagano
569,LSO,,
570,Bo prophete,,
571,Faf La Rage - Shurik'n,1971-03-06,Marseille
572,Grand Master Martin,,
573,MC Guichard,,
574,Jo.e,,
575,Luciano,1964-10-20,Manchester
576,Atheena,,
577,Maleek,,
578,Boussad Badji,,
579,Edwyn Mc Lennan,1959-08-23,Edinburgh
580,Victoria Abril,1959-07-04,Madrid
581,Mr. Vegas,1974-12-29,Kingston
582,Al & Duke,1899-04-29,"Washington, D.C."
583,Al,1946-04-13,Forrest City
584,Triptik,,
585,Khaled,1960-02-29,Oran
586,Michelle Gayle,1971-02-02,London
587,Brulux,,
588,Artikal Mehdi,,
589,Le Venin,,
590,Felaga,,
591,Haroun (Scred Connexion),1990,
592,Oumou Sangaré,1968-02-12,Bamako
593,Thomas Banghalter,1980-07-04,Trondheim
594,Nysay,,
595,IMS,,
596,Deni Hines,1970-09-04,
597,DJ Pone,1978-04-08,Meaux
598,Dj Mouss,,
599,Mc E Soon,1970-06-23,Villeneuve-Saint-Georges
600,Malik Bledos,,
601,Loucha,,
602,Shyheim,1977-11-14,Staten Island
603,Morgane Ebara,,
604,Black M,1984-12-27,Paris
605,Nakk,1976-03-30,Bobigny
606,Yvan,1976-05-03,Payerne
607,Pierre Pascual,,
608,AKH,,
609,Soof,,
610,Joseph Andjou,1732-03-31,Rohrau
611,Baron G,,
612,Makwa,,
613,3010,1991,Trappes
614,Roldán González Rivero,,
615,La Meute,,
616,Popa,,
617,Inflewence,,
618,Uniek,,
619,Zesso,,
620,Benj,,
621,Oli B,,
622,Beyoncé,1981-09-04,Houston
623,XV Barbare,,
624,Joe Di Marco,1940-06-21,Bologna
625,Lone,,Nottingham
626,Faby,,
627,Wise Intelligent,,
628,Dosseh,1985-01-26,Orléans
629,Ateyaba,1989-10-27,Narbonne
0,Biwaï,,
1,Haristone,,
2,Dinos,1993-11-30,Cameroon
3,MALTY 2BZ,,
4,Mairo,,
5,Slimka,1994-04-30,Genève
6,Sifax,,
7,Hooss,1992-06-03,
8,Jacky,,
9,Tiran,2005,
10,Kims la rafale,,
11,Siboy,,
12,Hyacinthe,,
13,Ammour,,
14,Momsii,,
15,TK,1982-12-23,Machida
16,Zaho,1980-05-10,Algeria
17,Shotas,2016,Évry
18,PRINCE KADER,1958-06-07,Minneapolis
19,Kodgy,,
20,Vinss,,
21,Sofiane,1986-07-21,Saint-Denis
22,SCH,1993-04-06,Marseille
23,Booba,1976-12-09,Boulogne-Billancourt
24,Les X-Men,,
25,RK,,
26,Bné,,
27,GLK,,
28,Kaza,,
29,Popey,,
30,Django,2009,London
31,Mixtape Madness,2010-09,United Kingdom
32,Bekar,,
33,Juice,2013-02-25,
34,Geeeko,1999-02-27,Bujumbura
35,PSO THUG,,
36,Leto,2017,Paris
37,Kobo,1992-07-02,Brussels
38,Coyote Jo Bastard,,
39,Take a Mic,1994-09-24,
40,Chanceko,,
41,Mala,,
42,Black Jack,1991,
43,Lunatic,1994,
44,Black D,,
45,Jedi,,
46,Celsius,,
47,Anabel,1992-09-01,Los Angeles
48,SLK,,
49,JMK$,1995-08-07,
50,BEN.C2K,,
51,Menavor,2001-05-14,Paris
52,Gen,,
53,san juliet,2009,
54,San Juliet,2009,
55,Diddi Trix,,
56,S.Pri Noir,1986,
57,Tayc,1996-05-02,Marseille
58,ATK,1995,Paris
59,Bramsito,,
60,Bakari,1996,Democratic Republic of the Congo
61,mademoiselle lou,,
62,Zkr,,Roubaix
63,Akhenaton,1968-09-17,Marseille
64,Nicholas Craven,,
65,Sto,,
66,TWENY8,,
67,Djé K,,
68,Guy2Bezbar,,
69,Brulux,,
70,Soolking,1989-12-10,Alger
71,Koba LaD,2000-04-03,Saint-Denis
72,BabyBen,,
73,Crocolyne,,
74,Sadek,1991-05-25,Neuilly-Plaisance
75,Mig,1999,Grenoble
76,Maes,1995-01-10,
77,Gradur,1990-11-28,Roubaix
78,34A,2018,Brussels
79,YL,1996-04-06,Metz
80,Rim'K,1978-06-21,Paris
81,Royce,,
82,Heuss L'enfoiré,1992-08-11,Gennevilliers
83,sean,,
84,Idée Noire.,,
85,Makala,1993-03-07,Biel/Bienne
86,Arthrn,,
87,Ninho,1996-04-02,Yerres
88,Lefa,1985-11-28,Paris
89,4Keus,2015,La Courneuve
90,So La Lune,,
91,Lord Kossity,1973-01-01,
92,Kool Shen,1966-02-09,Seine-Saint-Denis
93,MadeInParis,,
94,Roshi,1996-06-16,Kinshasa
95,Cinco,,
96,Juni Qwano,,
97,BU$HI,,
98,Benab,,
99,Gazo,1994-08-05,Châteauroux
100,Damso,1992-05-10,Kinshasa
101,PRIME,1992-09-24,Aubervilliers
102,La Brigade,1992,
103,Jayel,,
104,Rvzmo,,
105,Nahir,,Bobigny
106,Di-Meh,1995-06-30,
107,Benjamin Epps,,Gabon
108,Q.E Favelas,,
109,THABITI,,
110,Veazy,,
111,Kekra,,
112,Zikxo,1995-01-26,Bondy
113,Sheyrine,,
114,Chuki Beats,1995-11-07,Lokeren
115,Zeu,,
116,Ormaz,,Seine-Saint-Denis
117,Seven Binks,,Évry
118,BOLEMVN,,
119,Unknown T,1999-08-17,Homerton
120,Pa Salieu,,
121,Liim’s,,
122,La Mano 1.9,1987,Sèvres
123,Keusty,,
124,Ismo Z17,,
125,Waïv,,
126,Mayo,,
127,Moha La Squale,1995-02-24,Créteil
128,Gambi,1999,Fontenay-sous-Bois
129,Rounhaa,2000,France
130,Floki,,
131,TJ,,
132,Dinor rdt,,
133,Mister You,1984-02-05,Paris
134,Noname,1991-09-18,Chicago
135,Chanje,,Yvelines
136,Ghost Killer Track,,France
137,winnterzuko,,
138,Frenetik,1998-12-16,Evere
139,Green Montana,1993,Verviers
140,4Keus Gang,,
141,Lutheck,2013,
142,B1,,
143,Moha MMZ,1998-01-21,Annaba
144,47ter,,
145,Seth Gueko,1980-10-27,
146,Graya,,
147,DA Uzi,1994,Angers
148,Ménélik,1970-09-10,Centre
149,Alkpote,1981-02-03,
150,Bosh,,
151,Hayce Lemsi,1987-12-16,Ouargla
152,Volts Face,,
153,KDD,,
154,Laylow,1993-03-12,
155,Beeby,,
156,Favé,,
157,Raplume,,
158,Pins & Dimeh,,
159,Gambino La MG,,
160,Negrito,,Dammarie-lès-Lys
161,Realo,,
162,zaky,,
163,Yunodji,,
164,ELIESG,,
165,FLOWRENCY,,
166,Zed,1996,
167,Don Choa,1974,
168,Zamdane,,
169,GOULAG,,
170,Doxi,,
171,Dosseh,1985-01-26,Orléans
172,Tuerie,,
173,ASHE 22,,
174,wewantwraiths,,Leicester
175,Hopital,,
176,Kingzer,,
177,bupropion.,,
178,Kalash Criminel,1995-02,
179,Fresh La Douille,,
180,Saamou Skuu,,
181,Ärsenik,1992,
182,DTF,,Ivry-sur-Seine
183,Luv Resval,1998-01-06,Guinea
184,Savage Toddy,,
185,Pokeyz,,
186,Bovalon,,
187,Uliss,,
188,ISK,,
189,Noma Rttclan,,
190,Naza,1993-05-26,Amiens
191,Carlito,,
192,Yaro,,
193,GAULOIS,,
194,Chicaille Argenté,,
195,Sheldon,1991-06-09,
196,3010,1991,Trappes
197,Key Largo,,Gonesse
198,Key West,,
199,Key Heaven,,
200,Kbr,,
201,Zoomy,,
202,abel31,,
203,Batboy,,
204,Whosdead,,
205,Lemon Haze,,
206,Chily,,
207,Le Chamal,,
208,Norsacce Berlusconi,,
209,Kepler,1997,Ottawa
210,Wallace Cleaver,,
211,Jok'air,1991-09-23,Paris
212,Malo,1971,San Francisco
213,Laskiiz,,
214,Hös Copperfield,,
215,Hamza,1994-08-01,Laeken
216,Irvin,,
217,Dabs,,
218,BabySolo33,,
219,Bitsu,1999-06-25,France
220,Oxmo Puccino,1974-08-03,Ségou
221,Box,2014-11,Trenčín
222,Stavo,,
223,Evil P,,
224,Gato,2017-04,Japan
225,C.O.R,2002,Bergen auf Rügen
226,OBOY,1997-01-06,Madagascar
227,GIMS,1986-05-05,Kinshasa
228,Dinero,2007-06,
229,Wit.,,
230,Aéro,,
231,Werenoi,,
232,Dibson,,
233,Daddy Lord C,1970-01-07,
234,1PLIKÉ140,,
235,Landy,,
236,Niska,1994-04-06,Villeneuve-Saint-Georges
237,The S,,
238,B.B. Jacques,,
239,Bendo,,
240,Oldpee,,
241,Khali,,
242,Rémy,,
243,Hornet La Frappe,1992-12-05,Épinay-sur-Seine
244,Ucyll & Ryo,,
245,Ucyll,,
246,Ryo,,Japan
247,Gemen,,
248,Ideal J,1991,
249,YUNG POOR ALO,,
250,La Pépite,,
251,Le Rat Luciano,1976-04-09,Marseille
252,Menzo,1975,
253,Stone Black,1975-11-13,Marseille
254,Jul,1990-01-14,Marseille
255,Soprano,1979-01-14,Marseille
256,L'Algérino,1981-05-02,
257,Sysa,,
258,Solda,,
259,Fahar,,
260,8ruki,1994-09-26,France
261,Myth Syzer,,
262,Gaël Faye,1982-08-06,Bujumbura
263,Gringe,1980-02-20,Poitiers
264,Nemir,,Perpignan
265,Elams,,
266,13 Block,2012,Sevran
267,Kofs,,
268,Timal,,
269,Orelsan,1982-08-01,Alençon
270,Nekfeu,1990-04-03,La Trinité
271,Arka,,
272,Sasso,,
273,Théodore 🥷🏿,,
274,Softo,,
275,Youv Dee,,
276,Nyluu,,France
277,Gros Mo,,
278,Dadju,1991-05-02,Bobigny
279,Josman,,
280,SDM,,
281,Mister V,1993-08-14,Grenoble
282,Prototype,1994,Los Angeles
283,Dadi Cali,1952-08-16,Rio de Janeiro
284,Guizmo,1991-01-21,
285,Trixxo,,
286,Freeze corleone,1992-06-06,Les Lilas
287,SKG,,
288,Sidoff,,
289,M$D NAVY,,
290,Squidji,,
291,DMS,,
292,Alonzo,1982-07-25,
293,La Peee,,
294,Kanoé,,
295,Dhurata Dora,1992-12-24,
296,Ronisia,1999-11-13,Tarrafal
297,Cheu-B,,
298,Boumso,,
299,Amine Farsi,,
300,Kpoint,,
301,La Bourse,1970-08-19,Morbihan
302,Binks Beatz,,
303,Tiakola,,
304,Shaz,,
305,Zola,1985-07-18,
306,Berry,1926-10-18,St. Louis
307,Ash to the eye,2003,
308,La Place,,
309,Rimkus,,
310,Makiavel,,
311,Kamikaz,,
312,Houari,,
313,DRIME,,
314,TAZZ,,
315,Le classico organisé,,
316,Kodes,,
317,Nyda,1991,Roubaix
318,L'Allemand,,
319,La Famax,,
320,Kaaris,1980-01-30,Abidjan
